"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","586","Проверка всех вопросов и ответов с параметризацией","test","Sat Apr 26 13:01:00 MSK 2025","passed","Sat Apr 26 13:01:00 MSK 2025","TestMain","test_main_page","",""
"","568","Проверка всех вопросов и ответов с параметризацией","test","Sat Apr 26 13:00:34 MSK 2025","passed","Sat Apr 26 13:00:34 MSK 2025","TestMain","test_main_page","",""
"","584","Проверка всех вопросов и ответов с параметризацией","test","Sat Apr 26 13:00:25 MSK 2025","passed","Sat Apr 26 13:00:25 MSK 2025","TestMain","test_main_page","",""
"","581","Проверка всех вопросов и ответов с параметризацией","test","Sat Apr 26 13:00:16 MSK 2025","passed","Sat Apr 26 13:00:16 MSK 2025","TestMain","test_main_page","",""
"","594","Проверка перехода по лого Самокат","test","Sat Apr 26 13:02:16 MSK 2025","passed","Sat Apr 26 13:02:16 MSK 2025","TestSwitch","test_switch_page","",""
"Описание провери формы заказа","4474","Проверка Формы Заказа, через кнопку в headers","test","Sat Apr 26 13:01:29 MSK 2025","passed","Sat Apr 26 13:01:34 MSK 2025","TestOrder","test_order_page","",""
"","579","Проверка всех вопросов и ответов с параметризацией","test","Sat Apr 26 13:00:42 MSK 2025","passed","Sat Apr 26 13:00:43 MSK 2025","TestMain","test_main_page","",""
"Описание провери формы заказа","4423","Проверка Формы Заказа, через кнопку в body","test","Sat Apr 26 13:01:55 MSK 2025","passed","Sat Apr 26 13:01:59 MSK 2025","TestOrder","test_order_page","",""
"Описание провери формы заказа","4736","Проверка Формы Заказа, через кнопку в body","test","Sat Apr 26 13:01:42 MSK 2025","passed","Sat Apr 26 13:01:46 MSK 2025","TestOrder","test_order_page","",""
"Описание провери формы заказа","4381","Проверка Формы Заказа, через кнопку в headers","test","Sat Apr 26 13:01:17 MSK 2025","passed","Sat Apr 26 13:01:21 MSK 2025","TestOrder","test_order_page","",""
"","3389","Проверка перехода по лого Яндекс","test","Sat Apr 26 13:02:05 MSK 2025","passed","Sat Apr 26 13:02:09 MSK 2025","TestSwitch","test_switch_page","",""
"","613","Проверка всех вопросов и ответов с параметризацией","test","Sat Apr 26 13:00:06 MSK 2025","passed","Sat Apr 26 13:00:07 MSK 2025","TestMain","test_main_page","",""
"","602","Проверка всех вопросов и ответов с параметризацией","test","Sat Apr 26 13:00:51 MSK 2025","passed","Sat Apr 26 13:00:52 MSK 2025","TestMain","test_main_page","",""
"","569","Проверка всех вопросов и ответов с параметризацией","test","Sat Apr 26 13:01:08 MSK 2025","passed","Sat Apr 26 13:01:08 MSK 2025","TestMain","test_main_page","",""
